uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(training_oov)	f1(testing_oov)
bfbba5c2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	1.0	75.87	77.44	82.44	83.19
bfbda37c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	1.0	41.66	40.61	50.69	48.32
bfbcecf2-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.001	0.61	0.7	15.43	13.97
bfbeb56e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.001	0.19	0.2	17.05	15.2
bfbcba20-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.10000000000000001	75.58	76.8	80.98	81.75
bfbc608e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.01	56.43	59.6	65.37	67.23
bfbcc4c0-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.01	18.98	18.12	33.17	30.97
bfbc80e6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.10000000000000001	75.09	76.51	80.42	81.25
bfbc2254-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	0.001	0.38	0.29	19.0	17.27
bfbe4b06-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.10000000000000001	24.77	24.87	35.21	34.02
bfbc42ca-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.01	15.41	16.61	31.39	31.93
bfbd50f2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	0.001	0.3	0.23	18.98	16.93
bfbb3312-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	0.01	44.13	47.68	55.79	58.34
bfbeb8de-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.01	1.09	1.01	20.15	18.28
bfbd4652-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	0.01	0.01	0.0	19.44	17.3
bfbebd2a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.10000000000000001	70.42	71.75	76.79	77.34
bfbe8b3e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	0.001	2.46	1.3	19.8	17.01
bfbe75ae-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	0.10000000000000001	46.21	45.4	56.79	54.68
bfbb4d8e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.001	34.87	35.24	47.9	47.22
bfbd708c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.01	0.38	0.28	19.64	17.45
bfbb278c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	0.10000000000000001	73.23	74.95	79.61	81.04
bfbbccbe-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.01	48.95	52.64	57.97	59.92
