uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)	f1(testing_oov)
bfbee08e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.001	1.14	1.62	16.06
bfbb3a9c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	1.0	75.43	76.47	82.4
bfbe478c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.01	7.07	6.62	18.88
bfbca85a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.01	40.14	43.41	54.19
bfbdaaa2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.01	15.57	15.38	27.81
bfbcd6d6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	0.10000000000000001	74.07	75.94	80.9
bfbde3be-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.01	54.59	55.71	63.36
bfbbf61c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.001	0.72	0.48	16.82
bfbdce56-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	1.0	77.05	77.47	81.73
bfbb92b2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.10000000000000001	66.48	68.72	75.59
bfbe8404-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	0.10000000000000001	67.06	68.13	74.83
bfbc6b88-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	0.001	0.28	0.13	14.74
bfbbeec4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.10000000000000001	61.27	65.42	72.03
bfbe95ca-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	1.0	81.9	79.94	84.07
bfbb967c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	1.0	72.61	74.37	80.82
bfbbd07e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.10000000000000001	68.1	70.95	77.05
bfbba5c2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	1.0	75.87	77.44	83.19
bfbda37c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	1.0	41.66	40.61	48.32
bfbcecf2-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.001	0.61	0.7	13.97
bfbeb56e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.001	0.19	0.2	15.2
bfbcba20-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.10000000000000001	75.58	76.8	81.75
bfbc608e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.01	56.43	59.6	67.23
bfbcc4c0-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.01	18.98	18.12	30.97
bfbc80e6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.10000000000000001	75.09	76.51	81.25
bfbc2254-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	0.001	0.38	0.29	17.27
bfbe4b06-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.10000000000000001	24.77	24.87	34.02
bfbc42ca-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.01	15.41	16.61	31.93
bfbd50f2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	0.001	0.3	0.23	16.93
bfbb3312-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	0.01	44.13	47.68	58.34
bfbeb8de-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.01	1.09	1.01	18.28
bfbd4652-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	0.01	0.01	0.0	17.3
bfbebd2a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.10000000000000001	70.42	71.75	77.34
bfbe8b3e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	0.001	2.46	1.3	17.01
bfbe75ae-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	0.10000000000000001	46.21	45.4	54.68
bfbb4d8e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.001	34.87	35.24	47.22
bfbd708c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.01	0.38	0.28	17.45
bfbb278c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	0.10000000000000001	73.23	74.95	81.04
bfbbccbe-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.01	48.95	52.64	59.92
bfbc8474-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	1.0	82.98	83.19	86.87
bfbc1e94-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	1	1.0	71.33	73.48	79.54
bfbb5978-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	1.0	82.68	83.08	88.13
bfbb2f0c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	0.001	0.92	1.03	18.58
bfbbf23e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	1.0	73.08	74.33	80.29
bfb95290-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	1	0.001	2.92	2.69	16.28
bfbea402-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	1.0	69.87	71.18	76.54
bfbb7f2a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.01	61.87	64.96	71.83
bfbb1fa8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	0.001	34.1	34.8	48.51
bfbdee18-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	0.001	1.97	1.61	4.85
bfbc5260-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	0.01	45.8	50.23	59.11
bfbb426c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.01	58.53	62.53	69.06
bfbbfd88-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.10000000000000001	67.87	70.42	76.58
bfbbb9a4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	0.001	3.48	3.91	13.26
bfbbc8e0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.001	2.1	2.04	17.29
bfbe7248-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	0.01	1.4	0.66	17.57
bfbbdbc8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.01	59.04	62.96	69.55
bfbb6c6a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	0.001	6.79	7.53	25.45
bfbd57d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	0.10000000000000001	68.05	71.06	76.6
bfbbae3c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	0.01	61.88	65.56	72.62
bfbc9dba-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	0.10000000000000001	64.38	68.6	74.98
bfbc4b3a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	1.0	70.36	72.42	79.13
bfbdc35c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	0.001	4.82	4.7	8.8
bfbc72cc-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	0.10000000000000001	69.25	71.95	77.26
bfbf00e6-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.01	7.89	7.79	19.95
bfbbeaf0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.01	10.61	11.69	30.73
bfbdb8f8-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	0.01	22.46	22.57	33.83
bfbd5b88-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	1.0	79.78	80.76	85.03
bfbe0a88-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.001	0.11	0.12	17.19
bfbcda50-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	1.0	82.27	82.66	86.48
bfbd0d5e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	0.01	35.98	35.39	44.38
bfbcaf6c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	1.0	81.37	82.29	86.13
bfbc3bc2-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	1.0	79.89	81.14	86.06
bfbcf076-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.01	17.28	16.92	28.03
bfbca134-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	1.0	76.42	77.98	82.6
bfbf0b54-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	0.001	0.47	0.63	16.77
bfbb68c8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	1.0	74.68	76.07	81.87
bfbefd30-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.001	0.49	0.58	15.67
bfbb1300-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	0.01	59.74	63.94	70.08
bfbd4d6e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	1.0	74.06	75.81	80.86
bfbd986e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	0.001	0.99	0.77	11.07
bfbc8bae-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.01	62.39	65.39	72.48
bfbc961c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	1	0.001	1.71	1.44	13.91
bfbdc712-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	0.01	1.65	1.03	17.65
bfbcfb3e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.001	2.46	1.61	14.74
bfbbb5d0-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	1.0	79.96	80.2	85.49
bfbbd7e0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.001	12.13	10.53	26.67
bfbb9e10-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.01	57.74	61.65	68.73
bfbcbd90-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	1.0	84.49	84.4	87.86
bfbc04cc-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	0.001	14.39	13.69	30.65
bfbd0980-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	10	0.001	7.48	7.49	18.09
bfbd2d8e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	0.10000000000000001	71.51	73.73	78.76
bfbe1168-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.10000000000000001	73.33	74.94	79.86
bfbe4408-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.001	2.25	2.8	12.73
bfbd7b36-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.001	0.73	0.76	16.77
bfbe524a-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	0.001	4.75	4.35	17.76
bfbce590-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	0.10000000000000001	76.3	77.82	82.37
bfbc4ee6-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	0.001	3.01	2.68	17.63
bfbcd352-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	0.01	56.83	60.56	68.35
bfbd314e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	1.0	79.79	79.86	84.14
bfbb17d8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	0.10000000000000001	71.35	73.36	79.1
bfbd5f02-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	0.001	0.06	0.04	17.24
bfbcb69c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.01	59.51	63.41	70.79
bfbed9a4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.10000000000000001	30.12	30.88	42.07
bfbd42e2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	0.001	2.58	2.41	12.63
bfbbc50c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	1.0	73.38	74.93	80.9
bfbd661e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	10	0.10000000000000001	73.35	75.08	80.11
bfbe2748-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	0.001	1.24	0.86	14.52
bfbdb542-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	0.001	1.25	0.82	15.81
bfbe679e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.10000000000000001	32.7	32.87	41.36
bfbbbd8c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	0.01	4.42	5.4	21.57
bfbf0460-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	0.10000000000000001	22.87	22.47	31.83
bfbdd57c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	4	0.01	40.07	40.98	49.7
bfbb702a-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	0.01	58.46	62.4	69.24
bfbbe6f4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.001	1.01	1.31	15.74
bfbc59a4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	1.0	74.23	75.71	82.18
bfbcc10a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.001	2.58	3.03	14.93
bfbe0e02-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	0.01	44.98	45.92	54.9
bfbecefa-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	1.0	38.56	38.75	47.53
bfbed26a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.001	1.42	1.6	13.78
bfbc6480-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.10000000000000001	68.71	70.75	77.22
bfbb834e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	0.10000000000000001	72.39	74.03	80.59
bfbb5d2e-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.001	0.86	1.03	13.58
bfbec0ae-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	1.0	82.05	80.92	84.93
bfbe14d8-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	10	1.0	83.49	82.36	85.9
bfbed5e4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	0.01	2.16	1.71	19.88
bfbcfed6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.01	28.16	27.96	37.86
bfbe60be-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.001	5.45	5.61	17.38
bfbeeb92-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	1.0	61.06	56.61	62.35
bfbb55ae-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.10000000000000001	72.9	74.09	80.5
bfbee80e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.10000000000000001	39.16	38.42	47.32
bfbde742-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.10000000000000001	75.06	75.5	80.65
bfbbdf92-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	0.10000000000000001	71.15	72.61	78.88
bfbc8f32-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.10000000000000001	76.76	78.0	82.65
bfbd3842-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.01	55.91	59.36	67.46
bfbce932-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	1.0	85.51	84.35	87.93
bfbca4a4-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.001	0.09	0.0	17.18
bfbd8dba-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.01	50.17	53.78	63.53
bfbbe33e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	10	1.0	79.67	80.47	85.32
bfbe5d30-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	4	1.0	41.24	39.07	46.53
bfbc87f8-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	0.001	9.67	9.58	24.79
bfbb4636-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.10000000000000001	70.72	73.08	78.82
bfbc7d30-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.01	56.05	58.98	67.39
bfbc2ccc-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	1.0	75.86	77.39	82.95
bfbef632-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	0.10000000000000001	17.39	16.24	27.58
bfbbd42a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	1.0	76.84	77.55	83.2
bfbb49e2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	1.0	79.72	80.62	85.87
bfbd34d2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.001	0.65	0.65	17.3
bfbb64fe-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	1	0.10000000000000001	66.78	69.93	75.52
bfbea772-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	0.001	1.77	1.91	7.68
bfbd6d1c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.001	5.24	5.04	16.09
bfbd8a40-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	10	0.001	1.9	2.26	17.8
bfbc0c1a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	0.10000000000000001	70.45	72.24	78.61
bfbecb6c-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	0.10000000000000001	7.41	5.55	24.0
bfbeb208-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	4	1.0	79.55	79.12	83.13
bfbe87c4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	1.0	79.41	78.87	82.99
bfbda6f6-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.001	0.55	0.28	15.97
bfbc3f5a-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.001	7.79	7.65	15.26
bfbedd1e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	4	1.0	53.72	52.38	58.82
bfbb516c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	10	0.01	61.17	64.94	71.33
bfbe6b54-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	1.0	45.77	42.75	49.64
bfbcf774-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	1.0	45.79	44.2	51.55
bfbc0fd0-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	10	1.0	80.23	81.27	86.41
bfbd7eb0-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.01	27.72	29.31	43.31
bfbdf8ae-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	1.0	74.11	75.46	80.08
bfbe994e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	0.001	1.81	1.63	3.87
bfbe188e-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.001	5.15	4.84	10.78
