uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)
bfbbc156-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	1	0.10000000000000001	63.5	67.09
bfbb77be-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	4	1.0	78.51	79.73
bfbb0626-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	0.001	6.6	7.23
bfbdf1ce-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	1	0.01	0.04	0.0
bfbd1858-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	1	0.001	0.45	0.39
bfbd05ca-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	1.0	53.1	51.48
bfbc5d1e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.001	15.7	15.45
bfbe8ea4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	0.01	38.51	37.5
bfbccbc8-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	1.0	78.2	78.9
bfbcb2f0-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.001	0.07	0.12
bfbd3bbc-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	0.10000000000000001	74.44	75.72
bfbd86bc-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	1.0	79.95	80.48
bfbd1f4c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	1	0.10000000000000001	61.49	64.71
bfbee08e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.001	1.14	1.62
bfbb3a9c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	1.0	75.43	76.47
bfbe478c-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.01	7.07	6.62
bfbca85a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.01	40.14	43.41
bfbdaaa2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.01	15.57	15.38
bfbcd6d6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	4	0.10000000000000001	74.07	75.94
bfbde3be-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	10	0.01	54.59	55.71
bfbbf61c-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	0.001	0.72	0.48
bfbdce56-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	1	1.0	77.05	77.47
bfbb92b2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	0.10000000000000001	66.48	68.72
bfbe8404-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	0.10000000000000001	67.06	68.13
bfbc6b88-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	0.001	0.28	0.13
bfbbeec4-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	1	0.10000000000000001	61.27	65.42
bfbe95ca-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	1.0	81.9	79.94
bfbb967c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	1	1.0	72.61	74.37
bfbbd07e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	32	6	4	0.10000000000000001	68.1	70.95
bfbba5c2-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	1.0	75.87	77.44
bfbda37c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	1.0	41.66	40.61
bfbcecf2-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	1	0.001	0.61	0.7
bfbeb56e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.001	0.19	0.2
bfbcba20-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	10	0.10000000000000001	75.58	76.8
bfbc608e-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	10	0.01	56.43	59.6
bfbcc4c0-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	1	0.01	18.98	18.12
bfbc80e6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.10000000000000001	75.09	76.51
bfbc2254-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	4	0.001	0.38	0.29
bfbe4b06-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	0.10000000000000001	24.77	24.87
bfbc42ca-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	1	0.01	15.41	16.61
bfbd50f2-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	0.001	0.3	0.23
bfbb3312-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	1	0.01	44.13	47.68
bfbeb8de-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.01	1.09	1.01
bfbd4652-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	1	0.01	0.01	0.0
bfbebd2a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	10	0.10000000000000001	70.42	71.75
bfbe8b3e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	0.001	2.46	1.3
