uuid	context_size	loss	moniker	nn	oaa	passes	sample_training	f1(training)	f1(testing)
bfbc1b10-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	1	0.10000000000000001	58.83	62.32
bfbd9c10-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	1	0.01	2.96	2.98
bfbd3f5e-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	10	1.0	82.16	81.37
bfbef2b8-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	0.01	1.89	1.53
bfbd025a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	300	6	4	0.10000000000000001	44.92	44.89
bfbe9214-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	10	0.10000000000000001	72.47	73.0
bfbba1d0-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	4	0.10000000000000001	69.76	72.04
bfbe1c08-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	1	0.01	6.96	6.54
bfbee480-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	10	0.01	12.64	13.4
bfbcde1a-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	0.001	19.62	20.33
bfbc3456-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	0.01	55.83	60.12
bfbb8722-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	128	6	10	1.0	81.94	82.73
bfbf1298-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	10	0.10000000000000001	28.73	29.17
bfbdae58-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	4	0.10000000000000001	38.1	38.41
bfbc92ac-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	10	1.0	86.77	85.54
bfbec432-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	0.001	3.54	3.28
bfbd5462-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	64	6	4	0.01	3.52	2.7
bfbdfc64-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	4	0.001	0.6	0.47
bfbd744c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	0.10000000000000001	50.3	53.71
bfbddc66-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	32	6	4	1.0	82.11	81.46
bfbc1750-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	1	0.01	2.87	2.54
bfbbb210-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	300	6	10	0.10000000000000001	71.14	73.14
bfbd267c-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	0.001	0.14	0.04
bfbec7ac-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	128	6	1	0.01	0.23	0.23
bfbd8310-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	4	0.10000000000000001	68.99	71.87
bfbf07e4-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	4	1.0	37.7	36.78
bfbce19e-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	128	6	10	0.01	61.49	65.35
bfbc00f8-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	64	6	4	1.0	76.33	77.38
bfbe0362-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	4	0.10000000000000001	68.73	70.69
bfbd29f6-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	32	6	4	0.01	36.49	39.76
bfbe9cc8-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	64	6	1	0.01	0.03	0.0
bfbe809e-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	0.01	7.58	7.1
bfbef9b6-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	1.0	28.88	30.25
bfbdbc72-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	300	6	10	0.10000000000000001	43.46	43.83
bfbeef02-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	300	6	1	0.001	2.57	3.29
bfbc5620-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	300	6	4	0.10000000000000001	66.02	68.79
bfbc79b6-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	4	0.001	0.21	0.11
bfbe7d1a-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	4	0.001	4.69	3.77
bfbb2b4c-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	10	1.0	83.77	84.06
bfbc6f0c-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	32	6	1	0.01	6.82	6.18
bfbcabde-2896-11e3-9993-90b11c09b194	2	hinge	vw_trainer	64	6	4	0.10000000000000001	72.73	74.86
bfbe2e5a-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	4	0.10000000000000001	40.51	39.8
bfbe4ebc-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	1	1.0	35.66	35.28
bfbe6438-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	300	6	10	0.01	20.37	18.72
bfbc3082-2896-11e3-9993-90b11c09b194	1	logistic	vw_trainer	128	6	10	0.001	3.08	3.03
bfbd77bc-2896-11e3-9993-90b11c09b194	2	logistic	vw_trainer	128	6	1	1.0	72.36	74.61
bfbe35c6-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	128	6	10	0.001	3.85	3.29
bfbe06d2-2896-11e3-9993-90b11c09b194	4	hinge	vw_trainer	64	6	4	1.0	79.83	80.23
bfbb3e70-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	64	6	4	0.001	15.22	14.73
bfbb1be8-2896-11e3-9993-90b11c09b194	1	hinge	vw_trainer	32	6	4	1.0	80.18	81.05
bfbe6ece-2896-11e3-9993-90b11c09b194	4	logistic	vw_trainer	32	6	1	0.001	5.16	4.93
